Lasa Supergener,46.00,12.63,healthcare
TTK Healthcare,841.60,5.24,healthcare
RPG Life,629.10,3.89,healthcare
Venus Remedies,244.95,3.81,healthcare
SMS Pharma,90.00,3.18,healthcare
Indraprastha,58.60,2.72,healthcare
Guj Themis,487.00,2.34,healthcare
Caplin Labs,824.90,1.67,healthcare
Shalby ,117.00,1.56,healthcare
Glenmark Life,473.00,1.14,healthcare
Thyrocare Techn,623.50,1.14,healthcare
Alembic,72.45,1.05,healthcare
Krsnaa Diagnost,557.95,1.04,healthcare
Natco Pharma,674.00,0.95,healthcare
Kopran,214.45,0.94,healthcare
Max Healthcare,361.05,0.93,healthcare
Neuland Lab,1360.90,0.82,healthcare
Apollo Hospital,4253.25,0.76,healthcare
Syngene Intl,579.45,0.67,healthcare
Panacea Biotec,130.65,0.66,healthcare
AMI Organics,1025.00,0.53,healthcare
Dr Lal PathLab,2114.95,0.52,healthcare
Bajaj Health,388.25,0.31,healthcare
Fermenta Bio,192.95,0.31,healthcare
Novartis India,660.00,0.20,healthcare
Medicamen Bio,715.95,0.16,healthcare
Aarti Drugs,437.95,0.07,healthcare
Healthcare Glob,275.05,0.04,healthcare
Pfizer,4206.55,0.02,healthcare
D-Link India,165.35,19.99,IT
Xelpmoc Design ,173.90,2.86,IT
Aurionpro Solut,309.00,1.79,IT
Rategain Travel,318.50,1.73,IT
Sasken Tech,806.35,1.73,IT
Cerebra Int,45.55,1.67,IT
COFORGE LTD.,3834.00,1.62,IT
MphasiS,2329.75,1.60,IT
Sonata,734.35,1.51,IT
Tata Elxsi,8519.70,1.45,IT
Aurum Proptech,106.40,1.40,IT
Infibeam Avenue,14.35,1.08,IT
Ramco System,316.75,0.92,IT
HCL Info,17.20,0.89,IT
Firstsource Sol,111.50,0.79,IT
Intellect Desig,704.55,0.62,IT
HCL Tech,927.00,0.60,IT
Nucleus Softwar,426.00,0.55,IT
Datamatics Glob,312.20,0.42,IT
L&T Technology,3475.55,0.32,IT
Wipro,414.70,0.27,IT
NIIT,375.60,0.23,IT
Oracle Fin Serv,3250.60,0.22,IT
Mastek,2057.20,0.08,IT
Kellton Tech,76.40,0.07,IT
IndusInd Bank,960.70,0.72,banking
GAIL,145.70,2.44,oil&gas
Adani Total Gas,2924.95,0.64,oil&gas
APL Apollo,937.25,2.39,steel&metal
Tata Steel,963.90,2.24,steel&metal
Jindal Steel,365.30,1.01,steel&metal
NMDC,105.35,0.96,steel&metal
Hindalco,385.20,0.76,steel&metal
Coal India,198.90,0.46,steel&metal
SAIL,75.90,0.33,steel&metal
JSW Steel,588.20,0.16,steel&metal
MRF,81000.00,1.63,Automobile
Balkrishna Ind,2307.00,1.17,Automobile
Minda Ind,531.20,1.12,Automobile
Adani Green Ene,2157.55,1.00,Power
Adani Trans,3020.05,0.80,Power
Torrent Power,509.00,0.64,Power
Tata Power,232.50,0.43,Power
Adani Power,293.80,0.05,Power
NTPC,149.95,0.03,Power
Saregama India,409.80,1.88,Tech
MphasiS,2329.75,1.60,Tech
Tata Elxsi,8519.70,1.49,Tech
Bharti Airtel,686.55,0.76,Tech
Tata Comm,1081.00,0.67,Tech
HCL Tech,927.00,0.60,Tech
Vodafone Idea,9.03,0.45,Tech
Wipro,414.70,0.29,Tech
Network 18,64.70,0.24,Tech
ITI,124.55,0.17,Tech
Lasa Supergener,46.00,11.98,healthcare
TTK Healthcare,849.80,6.10,healthcare
RPG Life,629.10,4.69,healthcare
Venus Remedies,245.70,3.40,healthcare
SMS Pharma,90.00,3.18,healthcare
Indraprastha,58.70,2.46,healthcare
Caplin Labs,824.90,2.33,healthcare
Guj Themis,487.00,1.92,healthcare
Shalby ,117.00,1.48,healthcare
Natco Pharma,674.00,1.43,healthcare
Max Healthcare,361.05,0.94,healthcare
AMI Organics,1025.00,0.92,healthcare
Krsnaa Diagnost,557.95,0.91,healthcare
Dr Lal PathLab,2123.80,0.83,healthcare
Thyrocare Techn,623.65,0.73,healthcare
Apollo Hospital,4253.25,0.59,healthcare
Syngene Intl,579.45,0.58,healthcare
Glenmark Life,473.00,0.50,healthcare
Alembic,72.45,0.49,healthcare
Bajaj Health,388.25,0.31,healthcare
Dishman Carboge,131.75,0.31,healthcare
Aarti Drugs,437.95,0.28,healthcare
Kopran,214.45,0.28,healthcare
Panacea Biotec,130.65,0.27,healthcare
Novartis India,660.00,0.20,healthcare
Medicamen Bio,715.95,0.16,healthcare
Pfizer,4206.55,0.15,healthcare
D-Link India,165.35,19.81,IT
Sonata,734.35,1.83,IT
Xelpmoc Design ,173.90,1.83,IT
Aurionpro Solut,309.00,1.79,IT
MphasiS,2329.75,1.78,IT
Sasken Tech,806.35,1.73,IT
Firstsource Sol,111.50,1.71,IT
Rategain Travel,318.50,1.61,IT
COFORGE LTD.,3834.00,1.54,IT
Tata Elxsi,8519.70,1.45,IT
Ramco System,316.75,1.26,IT
Cerebra Int,45.55,1.23,IT
Infibeam Avenue,14.35,1.08,IT
HCL Info,17.20,0.89,IT
Aurum Proptech,106.40,0.87,IT
HCL Tech,928.00,0.82,IT
Intellect Desig,704.55,0.67,IT
Nucleus Softwar,426.00,0.55,IT
Datamatics Glob,312.20,0.26,IT
Wipro,414.70,0.13,IT
L&T Technology,3475.55,0.12,IT
Mastek,2057.20,0.11,IT
Oracle Fin Serv,3250.60,0.11,IT
Kellton Tech,76.40,0.07,IT
NIIT,375.60,0.03,IT
IndusInd Bank,960.70,1.08,banking
Bank of Baroda,116.75,0.30,banking
ICICI Bank,817.85,0.13,banking
SBI,516.00,0.12,banking
GAIL,145.70,2.47,oil&gas
Adani Total Gas,2924.95,0.62,oil&gas
Tata Steel,963.90,2.30,steel&metal
APL Apollo,937.25,1.89,steel&metal
NMDC,105.35,1.20,steel&metal
Jindal Steel,365.50,0.99,steel&metal
Hindalco,385.20,0.81,steel&metal
SAIL,75.90,0.40,steel&metal
Coal India,198.90,0.30,steel&metal
JSW Steel,588.20,0.28,steel&metal
Balkrishna Ind,2322.00,1.92,Automobile
MRF,81000.00,1.69,Automobile
Minda Ind,531.20,1.20,Automobile
Cummins,1217.00,0.13,Automobile
Adani Green Ene,2157.55,0.95,Power
Adani Trans,3020.05,0.84,Power
Tata Power,232.50,0.71,Power
Torrent Power,509.00,0.56,Power
Adani Power,293.80,0.19,Power
NTPC,149.95,0.13,Power
MphasiS,2329.75,1.78,Tech
Saregama India,409.80,1.46,Tech
Tata Elxsi,8519.70,1.45,Tech
Tata Comm,1081.00,1.00,Tech
HCL Tech,928.00,0.82,Tech
ITI,124.55,0.66,Tech
Bharti Airtel,686.55,0.47,Tech
Vodafone Idea,9.03,0.45,Tech
Network 18,64.70,0.24,Tech
Wipro,414.70,0.13,Tech
Lasa Supergener,46.00,11.98,healthcare
TTK Healthcare,849.80,6.10,healthcare
RPG Life,629.10,4.69,healthcare
Venus Remedies,245.70,3.40,healthcare
SMS Pharma,90.00,3.18,healthcare
Indraprastha,58.70,2.46,healthcare
Caplin Labs,824.90,2.33,healthcare
Guj Themis,487.00,1.92,healthcare
Shalby ,117.00,1.48,healthcare
Natco Pharma,674.00,1.43,healthcare
Max Healthcare,361.05,0.94,healthcare
AMI Organics,1025.00,0.92,healthcare
Krsnaa Diagnost,557.95,0.91,healthcare
Dr Lal PathLab,2123.80,0.83,healthcare
Thyrocare Techn,623.65,0.73,healthcare
Apollo Hospital,4253.25,0.59,healthcare
Syngene Intl,579.45,0.58,healthcare
Glenmark Life,473.00,0.50,healthcare
Alembic,72.45,0.49,healthcare
Bajaj Health,388.25,0.31,healthcare
Dishman Carboge,131.75,0.31,healthcare
Aarti Drugs,437.95,0.28,healthcare
Kopran,214.45,0.28,healthcare
Panacea Biotec,130.65,0.27,healthcare
Novartis India,660.00,0.20,healthcare
Medicamen Bio,715.95,0.16,healthcare
Pfizer,4206.55,0.15,healthcare
D-Link India,165.35,19.81,IT
Sonata,734.35,1.83,IT
Xelpmoc Design ,173.90,1.83,IT
Aurionpro Solut,309.00,1.79,IT
MphasiS,2329.75,1.78,IT
Sasken Tech,806.35,1.73,IT
Firstsource Sol,111.50,1.71,IT
Rategain Travel,318.50,1.61,IT
COFORGE LTD.,3834.00,1.54,IT
Tata Elxsi,8519.70,1.45,IT
Ramco System,316.75,1.26,IT
Cerebra Int,45.55,1.23,IT
Infibeam Avenue,14.35,1.08,IT
HCL Info,17.20,0.89,IT
Aurum Proptech,106.40,0.87,IT
HCL Tech,928.00,0.82,IT
Intellect Desig,704.55,0.67,IT
Nucleus Softwar,426.00,0.55,IT
Datamatics Glob,312.20,0.26,IT
Wipro,414.70,0.13,IT
L&T Technology,3475.55,0.12,IT
Mastek,2057.20,0.11,IT
Oracle Fin Serv,3250.60,0.11,IT
Kellton Tech,76.40,0.07,IT
NIIT,375.60,0.03,IT
IndusInd Bank,960.70,1.08,banking
Bank of Baroda,116.75,0.30,banking
ICICI Bank,817.85,0.13,banking
SBI,516.00,0.12,banking
GAIL,145.70,2.47,oil&gas
Adani Total Gas,2924.95,0.62,oil&gas
Tata Steel,963.90,2.30,steel&metal
APL Apollo,937.25,1.89,steel&metal
NMDC,105.35,1.20,steel&metal
Jindal Steel,365.50,0.99,steel&metal
Hindalco,385.20,0.81,steel&metal
SAIL,75.90,0.40,steel&metal
Coal India,198.90,0.30,steel&metal
JSW Steel,588.20,0.28,steel&metal
Balkrishna Ind,2322.00,1.92,Automobile
MRF,81000.00,1.69,Automobile
Minda Ind,531.20,1.20,Automobile
Cummins,1217.00,0.13,Automobile
Adani Green Ene,2157.55,0.95,Power
Adani Trans,3020.05,0.84,Power
Tata Power,232.50,0.71,Power
Torrent Power,509.00,0.56,Power
Adani Power,293.80,0.19,Power
NTPC,149.95,0.13,Power
MphasiS,2329.75,1.78,Tech
Saregama India,409.80,1.46,Tech
Tata Elxsi,8519.70,1.45,Tech
Tata Comm,1081.00,1.00,Tech
HCL Tech,928.00,0.82,Tech
ITI,124.55,0.66,Tech
Bharti Airtel,686.55,0.47,Tech
Vodafone Idea,9.03,0.45,Tech
Network 18,64.70,0.24,Tech
Wipro,414.70,0.13,Tech
